title,description,category,severity,priority
Huge pothole near station,Road badly damaged,Road,high,high
Road broken near market,Accidents may happen,Road,high,high
Water leaking from pipe,Water flowing continuously,Water,medium,medium
Garbage pile near bus stand,Bad smell and insects,Waste,medium,medium
Streetlight not working,Road dark at night,Electricity,medium,medium
Open manhole on road,Danger to pedestrians,Road,high,high
Drain blocked near school,Waterlogging after rain,Drainage,high,high
Overflowing garbage bin,Waste spreading around,Waste,medium,medium
Electric pole damaged,Sparks visible,Electricity,high,high
Water supply interrupted,Residents affected,Water,medium,medium
