title,description,category,severity,priority
Huge pothole near station,Road badly damaged,Road,high,high
Road broken near market,Accidents may happen,Road,high,high
Water leaking from pipe,Water flowing continuously,Water,medium,medium
Garbage pile near bus stand,Bad smell and insects,Waste,medium,medium
Streetlight not working,Road dark at night,Electricity,medium,medium
Open manhole on road,Danger to pedestrians,Road,high,high
Drain blocked near school,Waterlogging after rain,Drainage,high,high
Overflowing garbage bin,Waste spreading around,Waste,medium,medium
Electric pole damaged,Sparks visible,Electricity,high,high
Water supply interrupted,Residents affected,Water,medium,medium
Huge pothole near station near railway station,Road badly damaged. Causing inconvenience,Road,high,high
Huge pothole near station near railway station,Road badly damaged. Needs urgent attention,Road,high,high
Huge pothole near station near bus stand,Road badly damaged. Problem worsening daily,Road,high,high
Huge pothole near station near hospital,Road badly damaged. Needs urgent attention,Road,high,high
Huge pothole near station in ward 10,Road badly damaged. Needs urgent attention,Road,high,high
Huge pothole near station near station,Road badly damaged. Public safety issue,Road,high,high
Huge pothole near station near hospital,Road badly damaged. Residents are affected,Road,high,high
Huge pothole near station in ward 10,Road badly damaged. Authorities should inspect immediately,Road,high,high
Huge pothole near station near bus stand,Road badly damaged. Public safety issue,Road,high,high
Huge pothole near station near station,Road badly damaged. Authorities should inspect immediately,Road,high,high
Road broken near market in ward 5,Accidents may happen. Problem worsening daily,Road,high,high
Road broken near market near bus stand,Accidents may happen. Residents are affected,Road,high,high
Road broken near market near railway station,Accidents may happen. Problem worsening daily,Road,high,high
Road broken near market near hospital,Accidents may happen. Public safety issue,Road,high,high
Road broken near market near bus stand,Accidents may happen. Authorities should inspect immediately,Road,high,high
Road broken near market near market,Accidents may happen. Public safety issue,Road,high,high
Road broken near market near school,Accidents may happen. Authorities should inspect immediately,Road,high,high
Road broken near market near station,Accidents may happen. Needs urgent attention,Road,high,high
Road broken near market in ward 10,Accidents may happen. Needs urgent attention,Road,high,high
Road broken near market near market,Accidents may happen. Authorities should inspect immediately,Road,high,high
Water leaking from pipe near station,Water flowing continuously. Problem worsening daily,Water,medium,medium
Water leaking from pipe near bus stand,Water flowing continuously. Authorities should inspect immediately,Water,medium,medium
Water leaking from pipe near hospital,Water flowing continuously. Residents are affected,Water,medium,medium
Water leaking from pipe near market,Water flowing continuously. Authorities should inspect immediately,Water,medium,medium
